#element,configuration,UUID
Li,X/Diamond,d57f21a4-9036-42ac-a7de-3b22fe21bb37
Li,X/FCC,534e8e51-bf1e-4662-9f63-74398fe7392f
Li,X/SC,ff37d0a8-0feb-4a5c-b9e0-b199c1c397c1
Lr,X/BCC,26f62a0a-e077-4fd9-af1f-0e096ce61a78
Lr,X/Diamond,9c9cae32-5e7b-47d6-b08e-fd79eb8778bd
Lr,X/FCC,6e8fdfd4-0112-4ff3-9fc6-6eea72e8618c
Lr,X/SC,bab1f493-7b02-460a-81a3-5ac656ed4226
Lu,X/BCC,5c929ef6-7438-4cc5-b28c-f57db23452b8
Lu,X/Diamond,8b90b05a-47d6-44b3-b43d-bfa790c4b1d8
Lu,X/FCC,9313a97a-3213-455a-8c08-f2d25f1f5198
Lu,X/SC,68379302-b026-4ea6-8716-7b4fc45de259
Md,X/BCC,e999130c-22bd-4cd5-a416-bd0740536153
Md,X/Diamond,2b8e36a0-e471-4b9a-a21d-2584de7b95eb
Md,X/FCC,c83075e4-5f22-4adb-a7d0-6571b53502e1
Md,X/SC,3b40aec6-1a1a-4c7e-8329-43f70d1f5fd3
Mg,X/BCC,16dfe2c0-6cdd-46d1-a049-418dbca2b1dd
Mg,X/Diamond,0dbefbf3-dd1c-4654-9da3-386913394eb7
Mg,X/FCC,28e96aed-f9a2-4819-a10a-ee518111865e
Mg,X/SC,4ada0e26-741c-46ac-a8c5-fdc52518d421
Mn,X/BCC,3e679830-6b23-4fff-9877-a5fcae8f1ee8
Mn,X/Diamond,dcc17ea2-c1f4-4851-9332-d09ffd0d466f
Mn,X/FCC,6ce9cc53-1675-4256-9847-a5ac2ce103b5
Mn,X/SC,ec1df2ce-91af-4ee4-88d5-51014d354f0b
Mo,X/BCC,fed7afbd-02b8-4db3-9620-0ddf17fbab70
Mo,X/Diamond,94c8c4d8-8100-4110-8d9d-3e8bb43ff3ef
Mo,X/FCC,3bfe15e2-e0f4-4451-ae05-449ed92ab4d7
Mo,X/SC,c932c569-4f4e-4c6d-bbd5-ca2f8c2c02cb
N,X/BCC,8d2f7ff6-cc3f-421b-b529-94f04c878fa9
N,X/Diamond,54f1b3d3-2780-47b8-b548-8eb835516178
N,X/FCC,74fcd21f-e2c0-4312-be57-90ecd6bb4d15
N,X/SC,ee087874-6ed3-4183-ac7d-27dea75175e5
Na,X/BCC,fa848d4b-9549-48b8-8cbf-af80d809ac13
Na,X/Diamond,cee23d9b-75f4-477c-a644-e348b9cbb41f
Na,X/FCC,75d69e3b-a7dc-420f-b5be-3751034b61a0
Na,X/SC,e4e84d0f-8163-4846-97bf-ce4892f7c063
Nb,X/BCC,79099f93-9c07-41d1-9e92-3e5385b5f3d4
Nb,X/Diamond,fe358356-8e37-42c2-a29c-ee67be4f9a97
Nb,X/FCC,f218b9d6-9c3f-4556-bce6-c73e5e512015
Nb,X/SC,8c05a2b3-8d51-48cd-bcf2-9aa8e9319397
Nd,X/BCC,178d6e10-a3da-47f8-a053-a481ad3c6421
Nd,X/Diamond,b9323091-d630-4789-8bc9-6595b05d2279
Nd,X/FCC,0d7eb7f7-3e10-47aa-879c-d27c82ed2eb6
Nd,X/SC,abe50557-2395-499d-91ac-d8c965de7f30
Ne,X/BCC,8c08172f-2ea9-4805-a82d-fff0684cdea0
Ne,X/Diamond,2e197828-7525-49bb-afba-c3f31664e5c0
