#element,configuration,UUID
Cs,XO2,e5cba2e6-ab75-4be7-9555-9becdd37ebfa
Cs,XO3,2e35c93c-a64b-4bc6-a6e3-6e9632dabea2
Cu,X2O,13ca981c-0bbd-4f6a-9ce5-5ef817fc09e8
Cu,X2O3,c85c7371-fc8d-48d8-a05a-443c6c0cd387
Cu,X2O5,0a85853b-fdc9-4f2c-bb80-5ea81fdbe617
Cu,XO,9e66498c-9405-4515-b40a-6da3da49fc75
Cu,XO2,a61edd82-c223-425a-b74d-0420a14328e3
Cu,XO3,b3a67d1a-b7fa-40de-a102-26160f27d665
Dy,X2O,577bc513-1722-4a25-b18c-b85d3b1bb098
Dy,X2O3,380554d5-ef4c-4556-86ee-533dac922a97
Dy,X2O5,2be09faa-5138-419a-bd6a-a8b198b66650
Dy,XO,c7b5d745-5760-42b7-9ca1-eda455fd4691
Dy,XO2,3bb928ea-95a2-409b-afc9-b8d0b1d98a41
Dy,XO3,8ddea799-2937-4244-9adb-08a4759544a4
Er,X2O,30b8a738-518e-4923-9f21-88ed69bbcd75
Er,X2O3,3ae10e94-39c7-4455-99f3-2ebb3975e705
Er,X2O5,51ec63ad-86e7-498c-8e4d-b2bd93ab6a4a
Er,XO,cfbd1d6c-8e9c-4f33-a989-36ff1250da37
Er,XO2,0de90fbc-0454-4e05-a540-dc084387eaeb
Er,XO3,a87aa3c5-901a-4824-960d-96a047be7627
Es,X2O,3b9434ea-42fc-48fa-8168-5bc853d29ed7
Es,X2O3,b74ad646-773e-4d26-b433-1852b3306e09
Es,X2O5,f86acfac-b1d3-4f88-8c68-3543ce729195
Es,XO,f79f7180-9c2c-4283-b745-29de7e54f344
Es,XO2,73686eb7-9795-4f89-9bb3-84a09f71dde3
Es,XO3,51fc6d39-f3df-46cc-af25-1cdf67f311d9
Eu,X2O,1e91c433-a25a-4fa4-bfb8-df83767fbe9e
Eu,X2O3,48549262-15ab-41f1-acd3-5257e6bc647b
Eu,X2O5,304c7e26-5167-497d-8305-c6038d409d02
Eu,XO,a29d3dcb-998c-43e0-bc8c-7bd6431560fa
Eu,XO2,3e3de87c-0773-49dc-b14b-5dba07912c83
Eu,XO3,bde2f245-1e13-4d49-b97f-9c0caa942e68
F,X2O,5eb2c4fd-9f9c-4b60-9a84-7784add54d31
F,X2O3,2790e61d-57dc-4b99-9170-4ccb624da356
F,X2O5,edbe28d8-c60e-483b-8efd-6957c4c9ab7d
F,XO,e10f8c03-1f85-43dc-99a7-1d8452abb668
F,XO2,4bddc8be-0f50-45c7-af9d-778e5f631c25
F,XO3,901cb5cb-78bd-4f3a-a413-1b6904a0c468
Fe,X2O,6c54b610-f374-4d1d-b71b-699b74e3a601
Fe,X2O3,634b4e36-5f52-470e-8336-4588d0c6b91b
Fe,X2O5,2a7a2ce8-5407-4c6c-aa08-132c9ccb0ec8
Fe,XO,d4a8e073-c8c2-4a48-ba8b-0196b1cc755b
Fe,XO2,9ceaa344-ff17-42b0-bcf3-294ee1ceb97a
Fe,XO3,1ebd05b2-5380-468f-bd65-d8b2b9eeb077
Fm,X2O,3e35592d-cd10-4808-8843-18e38585a5f2
Fm,X2O3,0aabea6e-a3d3-4620-8cd7-45d2ad607d5c
Fm,X2O5,9bafb7e3-3546-4e85-bc81-e1ce09b9c258
Fm,XO,f6673daa-fc1e-41cd-ad7f-8c680b5de402
Fm,XO2,b977c8ad-9345-4862-8f37-e2dd3e6d252a
Fm,XO3,1b686893-c061-43e9-97e1-e9f0ff465d5c
Fr,X2O,aaaf284b-e40c-466d-b3dd-9dcb144d7168
Fr,X2O3,dea5677a-4173-4931-8748-112cf53d5668
Fr,X2O5,ea382aa9-67d4-4ce6-8dbf-7bc16679ec4f
Fr,XO,588e0d05-bff0-4565-9c4f-07329cd8a27e
Fr,XO2,a8c2ae93-89e9-419d-94fb-8e8629b9c2c9
Fr,XO3,8b685e13-5cba-4c9a-ba67-ab83032f2fcc
Ga,X2O,aa2fb5c2-d544-40b3-905f-4d3ba443e046
Ga,X2O3,9d13d305-60fa-4081-bf31-eabe18ece547
Ga,X2O5,e0cbeff6-6bf9-4b88-aa00-5229b2e2b4f6
Ga,XO,8af5d280-c112-4383-800c-2f67f503653c
Ga,XO2,1399f4fb-fda8-4a44-adad-975018645c1d
Ga,XO3,d41a0579-637c-43eb-a96f-93db88e93aa4
Gd,X2O,b60fd7f5-e4ec-41bd-95a7-436c0165c0f2
Gd,X2O3,34290710-b894-4cd2-b2e6-ba95b3f59e6b
Gd,X2O5,aaff4762-8119-49bc-b809-e0d5046cec27
Gd,XO,73ecdb79-75de-4ea9-a44d-f85b8ddbff00
Gd,XO2,80a350ae-8a89-4486-ae6e-55f0750f8524
Gd,XO3,2b1c50f9-61eb-4d0a-ba82-3db255a4efce
Ge,X2O,b0b01b20-8e64-40a1-8e73-49061c2863c0
Ge,X2O3,c0fde01d-c06a-4394-a02c-ab142100da83
Ge,X2O5,867ca83d-10d1-4947-b2a7-edc30c7e5ffc
Ge,XO,d7a21f49-f751-4fba-b1d8-877f924de7b9
Ge,XO2,56c14c18-a3b4-42f2-a066-399d1736b6d0
Ge,XO3,4e020612-213c-47a6-aba8-77cd93051b29
H,X2O,4dc17edd-3968-4bd4-8912-96768dec28ff
H,X2O3,c1fbd4e2-46af-407f-8694-bc66ca6791bd
H,X2O5,df7ab941-aeeb-4a38-ae1b-a7ec059eaa75
H,XO,581f410e-3513-45f8-9f71-c6cd20dbae5c
H,XO2,5a50551c-02fe-417b-b1c1-1710694b5611
H,XO3,b91f11a1-6cca-436d-8bc5-3d71149db5a6
He,X2O,a1d73f1c-c6b3-4462-b098-2338a23530da
He,X2O3,82bbcfce-b9cc-46c5-af6f-f2ebcf104e4d
He,X2O5,8e69bc8e-1680-4089-86ff-e07a68a25276
He,XO,51f0bf14-f6e1-485b-b1a7-12c72d0dc0e2
He,XO2,7376a72b-f1f2-4bae-bd21-5e808325f0c5
He,XO3,5531cb35-67e1-499e-9800-bb7fb7ee2429
Hf,X2O,ad936381-0627-48e1-abb4-52c30e169e2f
Hf,X2O3,2e8adc07-ef94-407d-923c-ce3b08140c1c
Hf,X2O5,449d7035-2e2b-4603-8f00-ba2e51be9cb4
Hf,XO,4b8f267a-5908-4d06-b46e-2683c1bc3cf6
Hf,XO2,41427391-6a45-4ffd-a15a-1ba1b5bf6a95
Hf,XO3,6c2f0af6-e7c3-4cd5-86a2-9db11fe56b68
Hg,X2O,8c30c587-31aa-4828-af77-14faededebda
Hg,X2O3,af4121ac-d7aa-4678-b114-5a90baf9b594
Hg,X2O5,e337eedf-090f-4c2d-8e78-03947bd48cf6
Hg,XO,1f163d39-6daf-4078-a830-6ab5fad86675
Hg,XO2,d8a7f390-a66b-44ed-b937-96d6e6579561
Hg,XO3,226527b9-ffae-47f1-922b-a038ad649407
Ho,X2O,587cfbf9-6848-4a48-83ab-9a4ea91cb543
Ho,X2O3,9fae7881-a632-4534-844f-808fe30b5581
Ho,X2O5,b66c36f9-4d31-430f-81b2-aed6eb8c5775
Ho,XO,84d3c91e-76f8-443d-8de5-a4b7ffcd54c4
Ho,XO2,9ccc1e93-2282-4283-b173-c7e4422a614b
Ho,XO3,8582c96d-4517-489f-bfac-4dd1726aa728
I,X2O,51ec6911-1a2d-406b-a1e6-77960c12149f
I,X2O3,2b744435-719f-4c47-95b4-779ff2dbba94
I,X2O5,436ece2a-4655-44c6-bb49-2821f942caca
I,XO,9c3843fe-79a2-4e50-b084-a99871b799e1
I,XO2,9f46f750-d70d-40d4-9822-4557176a9fa2
I,XO3,b218706b-9d7e-4150-b9a6-e498678cd2e9
In,X2O,c9c643da-2bdc-4d8d-a61e-ea47bb985413
In,X2O3,e18d9f8f-466b-449a-8b73-3b52ab7b5689
In,X2O5,4a779b0d-8068-4e4a-976b-b2e019a70d1d
In,XO,534ec3fe-ea79-4f9e-91b0-fd4180086352
In,XO2,1078b5e8-98c8-4931-9832-e6cf962ee946
In,XO3,a7fcd57b-9183-4a13-b506-1b09f8958c2d
Ir,X2O,e9ce0139-3719-49b0-9793-7195c6cf62ae
Ir,X2O3,c894a3da-6851-46df-9013-dcad40427d9f
Ir,X2O5,c731c20f-5281-4e00-a3a2-f7376df6443d
Ir,XO,8207497d-8513-4b32-8989-9af607e261c1
Ir,XO2,da2a680b-d8e5-42bd-bd67-b456f80be853
Ir,XO3,abc7cf79-73d5-4242-9f11-c1d98ec52493
K,X2O,b4ac098d-2eb6-4c0c-9001-e1edb2c94076
K,X2O3,789877d0-51a6-4655-a985-c6926a137309
K,X2O5,3a4c3855-1cf8-4a6b-9638-ba00f6ffd709
K,XO,1a1162f4-96fa-4d17-9bf0-271bc3b81a53
K,XO2,27246ca0-c57b-4624-83ca-3f9400e319c0
K,XO3,5de91d50-b213-4c90-b3a5-19ff3a597599
Kr,X2O,fff409c2-5b9a-456e-aa83-b72a4fbad21b
Kr,X2O3,44923aa4-09ac-4a98-b836-833a1d724e7e
Kr,X2O5,096985cf-7386-4f33-8cce-bbf5a759588e
Kr,XO,bc8ec6f6-c4b7-403f-b373-fd6b16f5ed3a
Kr,XO2,5d711d82-6910-44d2-a008-f31b939b93c5
Kr,XO3,1fa1dd5e-01f3-479b-a85a-b39534ffc816
La,X2O,219d43ca-3b67-47e1-9dbd-0ac174e23428
La,X2O3,2b87af16-f576-4699-9f5a-ae7ce0c4efb8
La,X2O5,63dad9c5-cab8-4414-a53d-d949a113dbf2
La,XO,8c695e08-e78a-4ad9-a891-66dcea4460dd
La,XO2,51ae9fb8-d0b0-4a17-867b-0400bd67e4f3
La,XO3,3a1188c3-6555-4ae5-915e-a19b60ef917b
Li,X2O,47e0bfac-4dcc-4295-a5af-c7547c3b7388
Li,X2O3,563a2b8a-20de-471d-a0b3-31d473dfd672
Li,X2O5,4e7ef8f3-cb4e-4bba-9abe-3dc06d2d1146
Li,XO,25484d1f-01b2-49a2-a85f-315e7ff5eebc
Li,XO2,de37ece1-1133-4c97-bf49-1b44101bd24f
Li,XO3,61c26051-f66b-4483-aebc-a3d3b3b5fb18
Lr,X2O,f4a8e8bb-06a8-4a1a-8410-7e17fe686b40
Lr,X2O3,303677cf-8489-48b3-b483-0624bc2feaa5
Lr,X2O5,45a3e82f-35f3-4c53-a96a-64adcebb2429
Lr,XO,97dc025c-0417-44a2-9b86-486df2e42532
Lr,XO2,ccec984b-5483-49e6-ac36-923041110a67
Lr,XO3,358de206-9df4-4b78-837a-d0d749cc48a5
Lu,X2O,b56065b2-29b3-4544-ad66-360674c5a511
Lu,X2O3,1e3add78-74b7-423a-9614-ac808b2c700f
Lu,X2O5,14fc5f06-698b-46b1-aa55-b5f6079b4f80
Lu,XO,42890d0f-41ad-43ed-93aa-71682fc4ceaf
Lu,XO2,85516161-03ce-46b7-b05a-6af11be34fb3
