#element,configuration,UUID
Li,X/Diamond,1a891d66-582a-4846-8343-be112a128192
Li,X/FCC,e4e51a31-9800-43db-b871-5d74366ec190
Li,X/SC,dce05323-1577-4f4c-989a-8f01b531ef26
Mg,X/BCC,958f839c-eeef-4814-b499-8086ba6c2fb8
Mg,X/Diamond,ba8d9096-8d5d-45a9-acbd-821962932c06
Mg,X/FCC,e516bc77-de31-4be1-952e-13f4eb499003
Mg,X/SC,dd749475-0ab2-4bbb-96db-efbdafb18ef3
Mn,X/BCC,5ce69240-cc23-448d-bf1e-761703b425c2
Mn,X/Diamond,c997734a-0909-45ef-8e3c-a102e917b10c
Mn,X/FCC,e61fb95b-5f5b-40d3-9227-15372a897198
Mn,X/SC,cae066ea-4b9e-4ba1-b39d-39fd6cb92bc7
Mo,X/BCC,2a0870c8-af10-4553-bd7d-48e424841699
Mo,X/Diamond,6610f219-5dfe-4384-a2da-00afa9948b8d
Mo,X/FCC,8af2f1ba-288c-4386-927b-38d820ef5157
Mo,X/SC,b37c2a51-24a5-4c23-9ce0-433941126e4f
N,X/BCC,cec5a45b-3da4-4f9e-aff9-60e635f59290
N,X/Diamond,7c51d030-1881-40ad-9aa7-6e53f19e0f4b
N,X/FCC,6b48d3a7-0432-42ab-aa0b-5d12d94a6d07
N,X/SC,60b48215-6a0a-4854-b0bf-84f6e207aa64
Na,X/BCC,a9f48d08-4d95-4973-b4d3-c0120749e022
Na,X/Diamond,d5d548da-3d0f-473f-a06a-b5c98035dbfd
Na,X/FCC,2bb88047-e272-4f43-8cb2-93969ed4fcb2
Na,X/SC,3697c59a-96f5-4c42-a333-495e530ccdea
Nb,X/BCC,44803fdd-414f-482a-a52b-aca8aa4f6761
Nb,X/Diamond,6138d270-fcc5-459a-aa66-28bdc01c506b
Nb,X/FCC,6ea02cfe-7ade-45b3-a034-9e809139bddc
Nb,X/SC,6e24d13a-deb2-4795-9732-f4132229e46e
Ni,X/BCC,b92c9bb5-cfe5-464d-bf68-9f86efb4aa41
Ni,X/Diamond,ac4195bb-85e5-402d-bb1b-d8c578b04779
Ni,X/FCC,71435960-e72c-4d05-92cc-e8902cbc3b5c
Ni,X/SC,8703e455-a8e1-42d3-9c16-c10daab0007b
O,X/BCC,7a89442a-1d8a-49c1-9211-669be9fd61ed
O,X/Diamond,b556bddc-52d0-49c3-941e-86185860a6a4
O,X/FCC,6a02eee9-f7a8-4f93-8fc0-0de138139930
O,X/SC,2515ce83-8b17-4b9d-a610-53c638f9872c
Os,X/BCC,75eff2dd-b518-4b6e-ae50-131cb3c6564e
Os,X/Diamond,0b1a623e-0f01-45ef-8519-dcc0e4a79229
Os,X/FCC,d93770c5-2561-4962-9f32-f4a379dc815e
Os,X/SC,4f385174-30ea-49bc-8531-3a2cf5904093
P,X/BCC,8e3220bb-1e2f-473b-a5ca-5e0206e25d18
P,X/Diamond,a28d5cd2-0a9c-4009-8b32-e2aca4490f00
P,X/FCC,fd7183c1-4072-48b1-b297-0ff9b0d944aa
P,X/SC,6f228a43-4251-470f-8be4-1db725a883dc
Pb,X/BCC,28017c09-ecc1-46fa-801b-c4655415cdba
Pb,X/Diamond,07d13f37-aeb5-48ff-a7c1-92e48e1a30f0
